doc_id	title	source_file	record_count	footnote_min	footnote_max	pack_count
cfc-footnotes-01	山崎論文	山崎論文脚注集.txt	99	1	99	3
cfc-footnotes-02	木山論文	木山論文脚注集.txt	150	1	150	5
cfc-footnotes-03	石井論文	石井論文脚注集.txt	124	1	124	7
cfc-footnotes-04	羽島論文	羽島論文脚注集.txt	128	1	128	5
cfc-footnotes-05	鍋谷論文	鍋谷論文脚注集.txt	174	1	174	4
