id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-01-fn0090	cfc-footnotes-01	山崎論文	90	56	ただし、民法組合契約等に基づく分配については、その計算期間の末日の翌日から2月を経過する日までに金銭等の交付がされない場合には、同日において支払があったものとみなして源泉徴収課税されることとなるが(所法 212⑤)、匿名組合分配金については、そのような規定がないので、実際の支払があるまでは源泉徴収課税されない。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0091	cfc-footnotes-01	山崎論文	91	57	渡辺・前掲注(5) 19-20 頁。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0092	cfc-footnotes-01	山崎論文	92	57	通常は、資産購入のための SPC による追加資金はノンリコースローンにより調達され、また、資産に係る損害賠償等についても保険によりカバーするなど、匿名組合員に出資額以上の責任が及ぶことはない。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0093	cfc-footnotes-01	山崎論文	93	57	匿名組合契約は、営業者と匿名組合員の1対1の契約であるから、その契約ごとに区分して取扱うことが可能であると考える。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0094	cfc-footnotes-01	山崎論文	94	59	OECD モデル租税条約3条コメンタリー・パラ4は、「『企業』という用語はあらゆる事業の遂行に適用されると規定されている。『事業』という用語には自由職業その他の独立の性格を有する活動が含まれると、明文により定義されていることから、当該用語の国内法令における意味にかかわらず、自由職業その他の独立の性格を有する活動は企業…	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0095	cfc-footnotes-01	山崎論文	95	60	具体的には、租税条約の実施に伴う所得税法、法人税法及び地方税法の特例等に関する法律施行令が考えられる。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0096	cfc-footnotes-01	山崎論文	96	60	前掲注(55)参照。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0097	cfc-footnotes-01	山崎論文	97	60	租税条約実施特例法において、匿名組合分配金に対しては租税条約の「利子条項」が適用されるとした場合は、租税条約上の限度税率(ゼロ税率を含む。)が適用されることとなるが、日米及び日英の新租税条約のように、匿名組合分配金に対しては国内法を適用する旨の規定であれば、租税条約上の限度税率は適用されないことになる。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0098	cfc-footnotes-01	山崎論文	98	61	K. Tipke 著/木村弘之亮=吉村典久=西山由美訳『所得税・法人税・消費税-西ドイツ租税法ー』(木鐸社、1988) 178 頁。なお、「共同事業者」の概念については、谷口勢津夫「ドイツにおける人的会社(共同事業者)課稅」日稅研論集44号(日本税務研究センター、2000) 91-101頁。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-01-fn0099	cfc-footnotes-01	山崎論文	99	62	BFH GrS BStB1. II 1984 751 769f.。 以上となります。ご確認ください。	packs/cfc-footnotes-01-pack-02.txt
cfc-footnotes-02-fn0001	cfc-footnotes-02	木山論文	1		五十嵐清『法学入門〔第3版〕』(悠々社,2005年)138頁。同書では,「法文中に『男』とあれば『女』をふくめず、逆に『女』とあれば『男』を除外するように解釈するのが、文理解釈である。その点では、国語の解釈と本質的に変わりはない」と説明されている(同138頁)。	packs/cfc-footnotes-02-pack-00.txt
cfc-footnotes-02-fn0002	cfc-footnotes-02	木山論文	2		星野英一『民法のもう一つの学び方 〔補訂版〕』(有斐閣,2006年)62頁。	packs/cfc-footnotes-02-pack-00.txt
cfc-footnotes-02-fn0003	cfc-footnotes-02	木山論文	3		山下純司=島田聡一郎=宍戸常寿『法解釈入門』(有斐閣,2013年)26頁〔島田聡一郎執筆部分〕。	packs/cfc-footnotes-02-pack-00.txt
cfc-footnotes-02-fn0004	cfc-footnotes-02	木山論文	4		五十嵐・前掲注1) 145頁。同書では「目的解釈、または目的論的解釈という」と説明されており、この解釈には、①立法者の意思に従うべきとする立法者意思說（主観的解釈）と、②立法当時に有した目的ではなく、現在の社会において有する目的に従うべきとする法律意思說（客観的解釈）の2つがあるとの整理がなされている(同146-15…	packs/cfc-footnotes-02-pack-00.txt
