id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-03-fn0042	cfc-footnotes-03	石井論文	42	29	金子・前掲（注6）333頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0043	cfc-footnotes-03	石井論文	43	29	高橋・前掲（注13）148頁。 なお、立案担当者は、この規定の適用を認めるとしたならば、同一の軽課税国内に持株会社を介在させて他の CFC の所得を配当の形でその持株会社に移転させることにより、本税制の適用を免れ得るといった事態が生じることも考えられることも理由として挙げているが、平成 21年度改正後は、CFC が支…	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0044	cfc-footnotes-03	石井論文	44	29	武田昌輔編著『DHCコンメンタール法人税法』5016頁（第一法規出版、2014（加除式））。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0045	cfc-footnotes-03	石井論文	45	29	なお、法人税法第23条の2は外国子会社からの配当等に限定しているが、租税特別措置法施行令第39条の15第1項第4号は、外国子会社からの配当等に限定せず、子会社からの配当等を対象としているという違いがある。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0046	cfc-footnotes-03	石井論文	46	30	その理由について、立案担当者は、「今回の立法は、特定外国子会社等の留保所得を親会社の所得に合算して課税するものであり、特定外国子会社等の合算の対象となる所得は課税上親会社に帰属しているものとみなされているものといえよう。従って、子会社等の所得について外国で課税が行われていれば、子会社等が外国で課された税は、親会社の所…	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0047	cfc-footnotes-03	石井論文	47	30	高橋・前掲（注13）148頁、武田・前掲（注44）5017頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0048	cfc-footnotes-03	石井論文	48	30	金子・前掲（注6）412頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0049	cfc-footnotes-03	石井論文	49	30	武田・前掲（注44）5017頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0050	cfc-footnotes-03	石井論文	50	30	高橋・前揭（注13）148頁、武田・前掲（注44）5017頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0051	cfc-footnotes-03	石井論文	51	31	高橋・前掲（注13）152頁、武田・前掲（注44）5013頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0052	cfc-footnotes-03	石井論文	52	31	武田・前掲（注44）5016頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0053	cfc-footnotes-03	石井論文	53	31	国税庁『平成22年度改正税法のすべて』189頁。	packs/cfc-footnotes-03-pack-02.txt
cfc-footnotes-03-fn0054	cfc-footnotes-03	石井論文	54	31	所得税・法人税等の直接税については、納税義務者を無制限納税義務者と制限納税義務者とに分けることができる。無制限納税義務者というのは、わが国に住所または居所を有するため、いわば人的にわが国の課税権に服し、国内に源泉があるか国外に源泉があるかを問わず、それに帰属する課税物件のすべてについて納税義務を負う者をいい、制限納税…	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0055	cfc-footnotes-03	石井論文	55	32	国税庁・前掲（注53）193頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0056	cfc-footnotes-03	石井論文	56	32	平成23年度税制改正において導入された規定である。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0057	cfc-footnotes-03	石井論文	57	32	武田・前掲（注44）5016頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0058	cfc-footnotes-03	石井論文	58	32	国税庁『平成23年度改正税法のすべて』515頁、武田・前掲（注44）5016頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0059	cfc-footnotes-03	石井論文	59	33	国税庁・前掲（注53）210頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0060	cfc-footnotes-03	石井論文	60	33	国税庁・前掲（注53）211頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0061	cfc-footnotes-03	石井論文	61	34	高橋・前掲（注13）148頁、武田・前掲（注44）5017頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0062	cfc-footnotes-03	石井論文	62	34	武田・前掲（注44）5025頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0063	cfc-footnotes-03	石井論文	63	35	大澤・前掲（注38）1112頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0064	cfc-footnotes-03	石井論文	64	36	例えば、青色申告に対する更正は、推計によって行うことはできず、その帳簿書類を調査し、その調査により所得金額に誤りがあると認められる場合に限ってすることができ、しかもその場合には更正通知書に更正の理由を附記しなければならない（法法 130）。また、租税特別措置法の規定の多くは、青色申告の場合に限って適用されることになっ…	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0065	cfc-footnotes-03	石井論文	65	36	金子・前掲（注6）814頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0066	cfc-footnotes-03	石井論文	66	37	成松洋一『新減価償却の法人税務（第3版）』9頁（大蔵財務協会、2012）。 ただし、福岡高裁平成19年6月19日訟月 53巻9号2728頁は、「『確定した決算に基づき』とは、株主総会又は社員総会の承認を受けた決算書類を基礎として所得及び法人税額の計算を行う意味と解すべきである。しかしながら、我が国株式会社や有限会社の…	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0067	cfc-footnotes-03	石井論文	67	37	大澤・前掲（注38）1112頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0068	cfc-footnotes-03	石井論文	68	38	なお、1つの内国法人が複数の CFC の株主であることも考えられるが、決算の修正は必ず行わなければならないとはされていないから、ある CFCには決算の修正を行い、他の CFC には決算の修正を行わないということも課税上の弊害がない限り認められるものと考えられる。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0069	cfc-footnotes-03	石井論文	69	38	金子・前掲（注6）342頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0070	cfc-footnotes-03	石井論文	70	40	法制執務研究会・前掲（注3）695頁、金子・前掲（注3）1296頁。	packs/cfc-footnotes-03-pack-03.txt
cfc-footnotes-03-fn0071	cfc-footnotes-03	石井論文	71	40	吉国・前掲（注4）618頁。	packs/cfc-footnotes-03-pack-03.txt
