id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-04-fn0099	cfc-footnotes-04	羽島論文	99	31	租税特別法通達65の7(1)-32(日本船舶の意義)。 (P31)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0100	cfc-footnotes-04	羽島論文	100	33	租税特別措置法第66条の6第1項、第2項2号、同法施行令第39条の15第1項、第2項、同令39条の16第2項第1号、第2号。 (P33)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0101	cfc-footnotes-04	羽島論文	101	33	租税特別措置法第66条の6第2項第2号、同施行令第39条の15。 (P33)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0102	cfc-footnotes-04	羽島論文	102	34	高橋・前掲注(14)146頁〔井筒〕。なお、解説中、「未処分所得金額」については「基準所得金額」に、「課税対象留保金額」については、「課税対象金額」にそれぞれ現行CFC税制に併せた形で読み替えて説明を行っている。 (P34)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0103	cfc-footnotes-04	羽島論文	103	34	租税特別措置法施行令第39の15第1項、第2項。この理由は、「特定外国子会社等の所在する国のなかには法人税制の完備した国もあり得ようし、そのような場合に、統一的な所得の計算方式を強制することになると、その特定外国子会社等の本店所在地国の法令によって既に算定されている法人の所得の計算を洗替え計算しなければならず、納税者…	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0104	cfc-footnotes-04	羽島論文	104	35	武田・前掲注(68) 3199の259頁。 (P35)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0105	cfc-footnotes-04	羽島論文	105	35	武田・前掲注(68) 3199の259頁。 (P35)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0106	cfc-footnotes-04	羽島論文	106	36	武田昌輔編著『DHC コンメンタール法人税法・租税特別措置法』5016頁・5017頁(第一法規出版、2014(加除式))。 (P36)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0107	cfc-footnotes-04	羽島論文	107	36	武田・前掲注(68) 3199の259頁。 (P36)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0108	cfc-footnotes-04	羽島論文	108	36	武田・前掲注(106)5016頁。 (P36)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0109	cfc-footnotes-04	羽島論文	109	36	租税特別措置法施行令第39条の15第5項。 (P36)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0110	cfc-footnotes-04	羽島論文	110	36	朝長・前掲注(50)217頁。 (P36)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0111	cfc-footnotes-04	羽島論文	111	37	武田・前掲注(106)5017頁。 (P37)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0112	cfc-footnotes-04	羽島論文	112	37	武田・前掲注(68) 3199の259頁。 (P37)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0113	cfc-footnotes-04	羽島論文	113	43	前掲注(2):「双輝汽船事件」及び前掲注(3):「グラクソ事件」。 (P43)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0114	cfc-footnotes-04	羽島論文	114	44	金子・前掲注(5)71頁。 (P44)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0115	cfc-footnotes-04	羽島論文	115	44-45	最高裁平成23年2月18日判決:民集236号71頁。 (P44)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0116	cfc-footnotes-04	羽島論文	116	44-45	本件の最高裁判決における補足意見として、須藤正彦裁判官は「…一般的な法感情の観点から結論だけをみる限りでは、違和感も生じないではない。しかし、そうであるからといって、個別否認規定がないにもかかわらず、この租税回避スキームを否認することには、やはり大きな困難を覚えざるを得ない。…納税は国民に義務を課するものであるところ…	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0117	cfc-footnotes-04	羽島論文	117	45	金子宏教授は、武富士事件最高裁判決の補足意見は、「法令上の根拠がない限り否認はできない、という考え方を表明しており、多数意見もその趣旨を含んでいるものと思われる」と説明されている。そして、租税回避に対しては、「租税法律主義のもと、法律の根拠なしに、当事者の選択した法形式を通常用いられる法形式にひきなおし、それに対応す…	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0118	cfc-footnotes-04	羽島論文	118	45	中里実教授は、課税管轄権からの離脱行為に対しては、「租税法律主義のしばりのきつい租税法においては、立法の不備を解釈で補うことはできない。やはり、ここは、租税法律主義の原則に戻って、明確な個別立法により問題を解決するのが一番なのである。」と述べられている。中里・前掲注(38)34頁。 (P45)	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0119	cfc-footnotes-04	羽島論文	119	45	大淵博義教授は、本件贈与税回避のための住所移転は、「香港の贈与税非課税制度とわが国に住所を有しない制限納税義務者の国外財産の贈与税非課税制度を利用した『節稅行為』」に分類されるとした上で、このような「節税行為」については、「現実に生活の本拠が香港にある以上は否認できないことは当然であり、これを否認するためには個別規定…	packs/cfc-footnotes-04-pack-03.txt
cfc-footnotes-04-fn0120	cfc-footnotes-04	羽島論文	120	46	本稿での問題に対する他の対応策としては、我が国の法人税法等の規定の基本構造である本店所在地主義から、英国などの国が採用する管理支配地主義への抜本的な見直しという方法も考えられる。しかしながら、本稿ではあくまでも現行の本店所在地主義を基本とした対応策を模索したものである。 (P46)	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0121	cfc-footnotes-04	羽島論文	121	50	国税庁の報道発表によると、平成23事務年度の税務調査においてCFC税制が問題となったものが102件、申告漏れ所得金額は315億円、平成24事務年度の税務調査において問題となったものが81件、申告漏れ所得金額は64億円となっている。国税庁HP(2014.1) http://www.nta.go.jp/kohyo/pre…	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0122	cfc-footnotes-04	羽島論文	122	50	中里実ほか編著『国際租税訴訟の最前線』135 頁(有斐閣、2010)。ここでは「現行法における同税制には現代の複雑な企業活動や経済環境に必ずしも適応しきれていない面があり、同税制における一種の歪みが顕在化しつつあります。」と説明されている。 (P50)	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0123	cfc-footnotes-04	羽島論文	123	50	昭和53年のCFC税制導入に携わられた小田嶋清治氏においても「…外国子会社合算税制が適用されるか否かは、海外においては重要なファクターを占めていますが、その解釈上は、依然として不明確な点が見受けられます。」と述べられている。小田嶋清治=岩谷博紀「米国 LLC とタックス・ヘイブン税制における『特定外国子会社等』への該…	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0124	cfc-footnotes-04	羽島論文	124	50	本庄資教授によると、アグレッシブ・タックス・プランニングとは、「個人又は法人が税負担を最小化する意図で一税制の法技術や各国税制の差異を利用するプランニングであり、例えば一方の国の課税を免れるために他方の国の租税条約を利用するトリーティ・ショッピング、法令規定の文言に触れないが法の精神(spirit of the la…	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0125	cfc-footnotes-04	羽島論文	125	50	OECD 『Action Plan on Base Erosion and Profit Shifting』(2013). OECD HP (2014.1) http://www.oecd.org/ctp/BEPSActionPlan.pdf (P50)	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0126	cfc-footnotes-04	羽島論文	126	50	OECD・前掲注(125) p. 15-17 Chapter3 Action2 (Neutralise the effects of hybrid mismatch arrangements)、Action3(Strengthen CFC rules) 、Action4(Limit Base erosion via …	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0127	cfc-footnotes-04	羽島論文	127	51	財務省HP(2014. 1)。http://www.mof.go.jp/tax_policy/summary/international/20130719.htm (P51)	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-04-fn0128	cfc-footnotes-04	羽島論文	128	51	Hugh J. Ault. (2013) “Some Reflections on the OECD and the Sources of International Tax Principles" Tax Notes International, Vol70, Number12. p. 1198. (P51)	packs/cfc-footnotes-04-pack-04.txt
cfc-footnotes-05-fn0001	cfc-footnotes-05	鍋谷論文	1		「(1) 本稿は、特に記載のない限り、措法 66 条の 6 から 66 条の 9 までの規定に基づく制度（すなわち、単体法人を対象とした法人税に関する制度）を対象とする。」	packs/cfc-footnotes-05-pack-00.txt
cfc-footnotes-05-fn0002	cfc-footnotes-05	鍋谷論文	2		「(2) 諸外国の制度及び国際的な議論に関する記述においては「CFC 税制」（米国の制度については「サブパート F 税制」）の用語を、我が国の制度に関する記述においては「外国子会社合算税制」の用語を用いることとする。」	packs/cfc-footnotes-05-pack-00.txt
cfc-footnotes-05-fn0003	cfc-footnotes-05	鍋谷論文	3		「(3) オーストラリア、オーストリア、ベルギー、カナダ、チリ、チェコ、デンマーク、エストニア、フィンランド、フランス、ドイツ、ギリシャ、ハンガリー、アイスランド、アイルランド、イスラエル、イタリア、日本、韓国、ルクセンブルグ、メキシコ、オランダ、ニュージーランド、ノルウェー、ポーランド、ポルトガル、スロバキア、スロ…	packs/cfc-footnotes-05-pack-00.txt
cfc-footnotes-05-fn0004	cfc-footnotes-05	鍋谷論文	4		「(4) G20 メンバー国のうち、OECD 加盟国以外の国は、中国、インド、ロシア、アルゼンチン、ブラジル、インドネシア、サウジアラビア、南アフリカの 8 か国である。」	packs/cfc-footnotes-05-pack-00.txt
cfc-footnotes-05-fn0005	cfc-footnotes-05	鍋谷論文	5		「(5) 平成 26 年 7 月 15 日最高裁第三小法廷決定（公刊物未搭載）。第 1 審は平成 23 年 9月 29 日名古屋地裁判決（税資 261 号 184 頁(順号 11774)）、控訴審は平成 25 年 10 月30 日名古屋高裁判決（税資 263 号 201 頁(順号 12325)）。」	packs/cfc-footnotes-05-pack-00.txt
cfc-footnotes-05-fn0006	cfc-footnotes-05	鍋谷論文	6		「(6) 平成 26 年 7 月 10 日最高裁第一小法廷決定（公刊物未搭載）。第 1 審は平成 24 年10 月 5 日東京地裁判決（税資 262 号 209 頁(順号 12059)）、控訴審は平成 25 年 4 月10 日東京高裁判決（税資 263 号 71 頁(順号 12195)）。」	packs/cfc-footnotes-05-pack-00.txt
