id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-04-fn0015	cfc-footnotes-04	羽島論文	15	10	我が国の内国法人に係る外国子会社等が、「国外」において外国法を準拠法として行う組織再編成についての我が国の租税法上の取扱いについては、『外国における組織再編成に係る我が国租税法上の取扱いについて』((公)日本租税研究協会、2012)を参考にした。その中では、「基本的な考え方としては、外国における組織再編成が、我が国に…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0016	cfc-footnotes-04	羽島論文	16	11	適格現物出資の要件の一つである「国内にある事業所に属する資産又は負債」の判定は、形式的な記帳の場所ではなく、あくまでも実質的に経常的な管理が行われていた場所により判断される(法人税法基本通達1-4-12)。本事例では、S1社はペーパーカンパニーであり、その保有資産(不動産及び不動産の上に存する権利)の経常的な管理は内…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0017	cfc-footnotes-04	羽島論文	17	12	国外関連者とは、「外国法人」で、当該法人との間にいずれか一方の法人が他方の法人の発行済株式又は出資(当該他方の法人が有する自己の株式又は出資を除く。)の総数又は総額の100分の50以上の数又は金額の株式又は出資を直接又は間接に保有する関係その他の政令で定める特殊の関係のあるものをいうとされる(租税特別措置法第66条の…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0018	cfc-footnotes-04	羽島論文	18	12	遠藤克博「移転価格税制と寄附金課税」稅大論叢33号214頁以下(1999)の図を基に、国外関連者間の寄附金とCFC税制を重ねる形で改編したもの。 (P12)	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0019	cfc-footnotes-04	羽島論文	19	13	なお、本事例ではP社、S1社及びS2社の間には完全支配関係(法人税法第2条12号の7の6、同令第4条の2第2項)はないものとする。 (P13)	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0020	cfc-footnotes-04	羽島論文	20	14	船舶法第1条 左の船舶を以て日本船舶とす 一 日本の官庁又は公署の所有に属する船舶 二 日本国民の所有に属する船舶 三 日本の法令に依り設立したる会社にして其代表者の全員及び業務を執行する役員の三分の二以上が日本国民なるものの所有に属する船舶 四 前号に掲げたる法人以外の法人にして日本の法令に依り設立し其代表者の全員…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0021	cfc-footnotes-04	羽島論文	21	14	日本船舶の意義については、租税特別措置法通達65の7(1)-32(日本船舶の意義)において定められており、その内容は次のとおりである。 「措置法第65条の7第1項の表の第10号の下欄の買換資産である船舶は日本船舶に限られるのであるが、当該日本船舶には、外国船籍であった船舶を取得し、これを日本船舶として登録した上運航の…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0022	cfc-footnotes-04	羽島論文	22	14	政令で定めるものとは、次に掲げる船舶とされている(租税特別措置法施行令39の7の9)。 「一 建造の後事業の用に供されたことのない船舶のうち環境への負荷の低減に資する船舶として国土交通大臣及び農林水産大臣が財務大臣と協議して指定するもの 二 買換資産に該当する船舶(以下この号において「買換船舶」という。)の進水の日か…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0023	cfc-footnotes-04	羽島論文	23	15	国際税務 Vol. 13(44頁・45頁、税務研究会 1993.6)では、特定外国子会社等における未処分所得の計算上、特定の資産の買換えの場合の課税の特例の適用にあたり、「船舶」は日本船舶に限られるかという質問に対し、「特定外国子会社等の未処分所得の計算を行う場合、措法第65条の7第1項の表の18の規定の適用について…	packs/cfc-footnotes-04-pack-00.txt
cfc-footnotes-04-fn0024	cfc-footnotes-04	羽島論文	24	15	本件特例と実質所得者課税の原則との関係に係る裁判例(横浜地裁平成13年10月10日判決:稅資251号8999順号)及び国際税務・前掲注(23)44頁・45頁を参考に作成したもの。 (P15)	packs/cfc-footnotes-04-pack-00.txt
