id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-01-fn0001	cfc-footnotes-01	山崎論文	1	8	「匿名組合契約に準ずる契約の範囲」については「当事者の一方が相手方の事業のために出資をし、相手方がその事業から生ずる利益を分配することを約する契約とする。」と規定されている(所令 288・法令 184)。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0002	cfc-footnotes-01	山崎論文	2	8	平成14年度税制改正以前は、匿名組合員が10人未満の場合には、匿名組合契約に基づく利益の分配は、「国内にある資産の運用又は保有により生ずる所得」に該当するとされ(所法 161 一・所令 280①四、法法 138 一・法令 177①四)、所得税の源泉徴収は行われず、所得税又は法人税の申告による総合課税の対象とされていた…	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0003	cfc-footnotes-01	山崎論文	3	8	日独租税条約 10 条(5)においては、匿名組合分配金は「配当」とされ、日米新租税条約においては議定書 13(b)により、2006年2月2日に署名された日英新租税条約は20条により、匿名組合分配金は日本の国内法により課税されることとなっている。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0004	cfc-footnotes-01	山崎論文	4	9	東京地判平成17年9月30日(平成15年行(ウ)第529号)。これについてはⅢで考察する。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0005	cfc-footnotes-01	山崎論文	5	9	渡辺裕泰『国際取引と課税問題』19-21 頁(日本租税研究協会、2003)。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0006	cfc-footnotes-01	山崎論文	6	9	水野忠恒「判批」水野忠恒=中里実=佐藤英明=増井良啓編『租稅判例百選(第4版)』別冊ジュリスト178号 30-31頁(2005)。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0007	cfc-footnotes-01	山崎論文	7	9	金子宏『租税法〔第10版〕』122頁(弘文堂、2005)。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0008	cfc-footnotes-01	山崎論文	8	9	植松守雄「講座・所得税法の諸問題(第12回)」税経通信 42巻8号(1987) 47頁。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0009	cfc-footnotes-01	山崎論文	9	10	水野忠恒教授は、「匿名組合員の受ける利益の分配は、事業所得をはじめ、匿名組合のもとにおける性質に応じて、所得の性質が定まると考えられる。…国際課税の関係では、匿名組合の非居住者である匿名組合員が、地理的にみて、実質的事業に参加することは考えられないので、すべて、投資家にすぎないと認定するものとも思われるが、一般には、…	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0010	cfc-footnotes-01	山崎論文	10	11	所得税法基本通達36・37 共-21 の2は、「36・37 共-21 により営業者が匿名組合員に分配する利益の額は、当該営業者の当該組合事業に係る所得の計算上必要経費に算入する。」(平成17年12月26日付改正前の旧通達36・37 共-21の第2パラグラフも同旨)と規定している。また、法人税基本通達 14-1-3 は…	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0011	cfc-footnotes-01	山崎論文	11	14	平出慶道『商行為法〔第二版〕』334-335 頁(青林書院、1989)。	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0012	cfc-footnotes-01	山崎論文	12	14	西原寛一『商行為法〔3版〕』182頁(有斐閣、1973)。平出・前掲注(11)329頁。なお、営業者からの損失分配は匿名組合員の出資額を減少させるが、出資額を超えて損失分配された場合には、出資額はマイナスにならないという説(西原・前掲注(12)182頁)と出資額はマイナスとなりうるという説(平出・前掲注(11)338…	packs/cfc-footnotes-01-pack-00.txt
cfc-footnotes-01-fn0013	cfc-footnotes-01	山崎論文	13	15	税務訴訟の裁判例を題材に「匿名組合契約」について論じたものとして、村井正「匿名組合契約(I)・(II)」税務弘報31巻4・6号(1983年)。	packs/cfc-footnotes-01-pack-00.txt
