id	section_id	section_title	footnote_number	page_hint	snippet	core
cfc-footnotes-05-fn0047	cfc-footnotes-05	鍋谷論文	47		「(47) 中里実ほか編『租税法概説〔第 2 版〕』326 頁〔伊藤剛志〕（有斐閣, 2015）。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0048	cfc-footnotes-05	鍋谷論文	48		「(48) 株式の数又は出資金額の割合によるが、本稿においては、便宜上、株式のみについて記載する。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0049	cfc-footnotes-05	鍋谷論文	49		「(49) 本稿においては、便宜上、一般社団法人及び一般財団法人に関する法律（平成 18年法律 48 号）4 条、独立行政法人法（平成 15 年法律 118 号）10 条等の規定に係る「主たる事務所」を省略し、本店のみについて記載する。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0050	cfc-footnotes-05	鍋谷論文	50		「(50) 平成 27 年度税制改正により、「20%以下」が「20%未満」に改正された（平成 27年政令 148 号による改正後の措令 39 条の 14 第 1 項 2 号、財務省「平成 27 年度税制改正の解説」693 頁（http://www.mof.nta.go.jp/tax_policy/tax_reform…	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0051	cfc-footnotes-05	鍋谷論文	51		「(51) 租税特別措置法及び国税収納金整理資金に関する法律の一部を改正する法律（昭和53 年法律 11 号）1 条の規定による租税特別措置法の一部改正。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0052	cfc-footnotes-05	鍋谷論文	52		「(52) 高橋元監修『タックス･ヘイブン対策税制の解説』81～83 頁（清文社, 1979）。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0053	cfc-footnotes-05	鍋谷論文	53		「(53) 昭和 52 年 12 月税制調査会「昭和 53 年度の税制改正に関する答申」6～7 頁。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0054	cfc-footnotes-05	鍋谷論文	54		「(54) 高橋・前掲注(52) 45 頁。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0055	cfc-footnotes-05	鍋谷論文	55		「(55) 高橋・前掲注(52) 93 頁。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0056	cfc-footnotes-05	鍋谷論文	56		「(56) 高橋・前掲注(52) 173 頁。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0057	cfc-footnotes-05	鍋谷論文	57		「(57) 浅妻章如「外国子会社合算税制の存在意義と方向性」21 世紀政策研究所『わが国企業を巡る国際租税制度の現状と今後(中間報告)』46～48 頁（2010）。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0058	cfc-footnotes-05	鍋谷論文	58		「(58) 高橋・前掲注(52) 136 頁。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0059	cfc-footnotes-05	鍋谷論文	59		「(59) 小田嶋清治「タックス・ヘイブン対策税制の立法経緯と今後の動向」中里実ほか編著『国際租税訴訟の最前線』253 頁（有斐閣, 2010）、中里実ほか「国際租税法の現状と展望」同 402 頁〔小田嶋発言〕。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0060	cfc-footnotes-05	鍋谷論文	60		「(60) 増井良啓教授は、外国子会社配当益金不算入制度が、損金算入配当の取扱いを例に、「テリトリアル型」（相手国での課税の有無を問題にせず日本で免税するという考え方）を容認しており、日本の法人税制の国際的側面は、外国支店の取扱い、外国子会社株式の譲渡損益や外国子会社合算税制といった「全世界型」（内国法人の全世界所得…	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0061	cfc-footnotes-05	鍋谷論文	61		「(61) 我が国のほか、アルゼンチン、オーストラリア、ブラジル、カナダ、中国、デンマーク、エジプト、エストニア、フィンランド、フランス、ドイツ、ハンガリー、アイスランド、インドネシア、イスラエル、イタリア、韓国、リトアニア、メキシコ、ニュージーランド、ノルウェー、ポルトガル、南アフリカ、スペイン、スウェーデン、トル…	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0062	cfc-footnotes-05	鍋谷論文	62		「(62) オーストリア、ベルギー、ブルガリア、チリ、コロンビア、キプロス、チェコ、エクアドル、ジブラルタル、ギリシャ、香港、インド、アイルランド、ラトビア、ルクセンブルグ、マレイシア、マルタ、モーリシャス、ナイジェリア、ペルー、フィリピン、ポーランド、ルーマニア、ロシア、サウジアラビア、シンガポール、スロバキア、ス…	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0063	cfc-footnotes-05	鍋谷論文	63		「(63) この概要は、主に浅川雅嗣「OECD における BEPS と自動的情報交換への取り組み」租税研究 786 号 77 頁以下（2015）を参考にまとめた。」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0064	cfc-footnotes-05	鍋谷論文	64		「(64) OECD. (2013). “Action Plan on Base Erosion and Profit Shifting” .」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0065	cfc-footnotes-05	鍋谷論文	65		「(65) Russia G20. (2013). “G20 LEADERS’ DECLARATION” and “TAX ANNEX TO THE ST. PETERSBURG G20 LEADERS’ DECLARATION” .」	packs/cfc-footnotes-05-pack-01.txt
cfc-footnotes-05-fn0066	cfc-footnotes-05	鍋谷論文	66		「(66) OECD. (2014). “Neutralising the Effects of Hybrid Mismatch Agreements”(Action 2), “Preventing the Granting of Treaty Benefits in Inappropriate Circumstan…	packs/cfc-footnotes-05-pack-01.txt
